"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2022-03","Mar-2022","PC","Percentage","0","Units",,,0.520702108003714,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2022-04","Apr-2022","PC","Percentage","0","Units",,,0.334196674743096,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2022-05","May-2022","PC","Percentage","0","Units",,,0.766092097593478,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2022-06","Jun-2022","PC","Percentage","0","Units",,,0.851169324849178,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2022-07","Jul-2022","PC","Percentage","0","Units",,,0.827597509013426,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2022-08","Aug-2022","PC","Percentage","0","Units",,,0.812677773262906,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2022-09","Sep-2022","PC","Percentage","0","Units",,,0.959290608625543,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2022-10","Oct-2022","PC","Percentage","0","Units",,,2.37144682210157,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2022-11","Nov-2022","PC","Percentage","0","Units",,,-0.226191404726607,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2022-12","Dec-2022","PC","Percentage","0","Units",,,-0.156347717323331,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2023-01","Jan-2023","PC","Percentage","0","Units",,,0.0939555277168692,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2023-02","Feb-2023","PC","Percentage","0","Units",,,-0.696182728410496,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2023-03","Mar-2023","PC","Percentage","0","Units",,,0.567152422213454,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2018-01","Jan-2018","PC","Percentage","0","Units",,,0.688073394495405,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2018-02","Feb-2018","PC","Percentage","0","Units",,,0.607441154138203,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2018-03","Mar-2018","PC","Percentage","0","Units",,,0.301886792452846,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2018-04","Apr-2018","PC","Percentage","0","Units",,,0.300978179082011,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2018-05","May-2018","PC","Percentage","0","Units",,,0.0750187546886549,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2018-06","Jun-2018","PC","Percentage","0","Units",,,0.149925037481267,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2018-07","Jul-2018","PC","Percentage","0","Units",,,0.523952095808389,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2018-08","Aug-2018","PC","Percentage","0","Units",,,-0.0744601638123851,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2018-09","Sep-2018","PC","Percentage","0","Units",,,-0.372578241430699,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2018-10","Oct-2018","PC","Percentage","0","Units",,,0.299177262528063,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2018-11","Nov-2018","PC","Percentage","0","Units",,,-0.447427293064879,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2018-12","Dec-2018","PC","Percentage","0","Units",,,-0.0749063670412024,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,0.149925037481267,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2019-02","Feb-2019","PC","Percentage","0","Units",,,0.673652694610771,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2019-03","Mar-2019","PC","Percentage","0","Units",,,0.669144981412653,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2019-04","Apr-2019","PC","Percentage","0","Units",,,0.443131462333828,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2019-05","May-2019","PC","Percentage","0","Units",,,0.441176470588217,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2019-06","Jun-2019","PC","Percentage","0","Units",,,-0.219619326500702,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,0.513573000733661,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,-0.145985401459862,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2019-09","Sep-2019","PC","Percentage","0","Units",,,-0.438596491228072,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2019-10","Oct-2019","PC","Percentage","0","Units",,,0.293685756240817,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2019-11","Nov-2019","PC","Percentage","0","Units",,,-0.146412884333808,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,0,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,0.293255131964804,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,0.438596491228072,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,-0.582241630276574,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,-0.658857979502189,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,0.294767870302132,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,0.808229243203527,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,0,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,-0.145772594752174,,
